dish,morn,main,sub1,sub2,kcal,protein,fat,carbo,genr,side
玄米ご飯,1,玄米,,,243,4.48,1.6,56.96,和,2
ゆで卵,1,卵,,,71,6.63,5.51,0.16,和,1
鶏ささみ肉のスティックチキン,0,鶏ささみ肉,,,219,23.9,6.8,11.9,和,0
ほうれん草とサラダチキンの中華和え,0,サラダチキン,ほうれん草,,124,11.8,6.7,4.9,中,0
焼鮭,1,鮭,,,101,18,3.6,0.08,和,0
刺身(マグロ),0,マグロ,,,161,36.96,1.96,0.14,和,0
牛赤身肉(3枚),0,牛赤身肉,,,177,31.8,6.45,0.6,和,0
鶏胸肉のポン酢照り焼き,0,鶏むね肉,,,331,32.7,12.9,17.1,和,0
ピーマンと鶏胸肉のにんにく味噌炒め,0,鶏むね肉,ピーマン,,288,23.1,12.6,15.6,和,0
ひじきの煮物,1,ひじき,油揚げ,にんじん,184,9.5,7.9,19.3,和,1
和風の豆腐ステーキ,0,豆腐,,,363,20.1,22.2,17.3,和,1
ほうれん草のおひたし,1,ほうれん草,,,30,3.3,0.4,4.5,和,1
蒸しささみといんげんの胡麻和え,0,鶏ささみ肉,いんげん,,118,14,3.7,6,和,1
ミニトマトとツナの塩昆布あえ,0,トマト,ツナ,,75,3.5,5.3,4.1,和,1